akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.561,83 M","1.564,02 M",61.05
" PAD","1.179,18 M","553,31 M",46.92
" Pajak Daerah","1.000,01 M","434,64 M",43.46
" Retribusi Daerah","53,27 M","37,48 M",70.36
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","28,70 M","6,51 M",22.69
" Lain-Lain PAD yang Sah","97,21 M","74,68 M",76.82
" TKDD","1.245,31 M","822,46 M",66.05
" Pendapatan Transfer Pemerintah Pusat","1.245,31 M","822,46 M",66.05
" Pendapatan Lainnya","137,34 M","188,24 M",137.06
" Pendapatan Hibah","7,50 M","0,05 M",0.63
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","129,84 M","188,20 M",144.94
" Belanja Daerah","2.811,86 M","1.446,07 M",51.43
" Belanja Pegawai","1.056,43 M","635,40 M",60.15
" Belanja Pegawai","1.056,43 M","635,40 M",60.15
" Belanja Barang dan Jasa","1.109,74 M","628,21 M",56.61
" Belanja Barang dan Jasa","1.109,74 M","628,21 M",56.61
" Belanja Modal","423,36 M","105,68 M",24.96
" Belanja Modal","423,36 M","105,68 M",24.96
" Belanja Lainnya","222,34 M","76,79 M",34.54
" Belanja Hibah","180,00 M","68,03 M",37.80
" Belanja Bantuan Sosial","22,58 M","7,97 M",35.28
" Belanja Tidak Terduga","19,75 M","0,79 M",3.98
" Pembiayaan Daerah","250,04 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","266,22 M","460,23 M",172.88
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","266,22 M","460,23 M",172.88
" Pengeluaran Pembiayaan Daerah","16,19 M","0,00 M",0.00
" Penyertaan Modal Daerah","16,19 M","8,69 M",53.67
" Penyertaan Modal","0,00 M","8,69 M",0
