akun,anggaran,realisasi,persentase
" Pendapatan Daerah","958,18 M","677,20 M",70.68
" PAD","216,77 M","168,84 M",77.89
" Pajak Daerah","59,09 M","50,64 M",85.70
" Retribusi Daerah","10,41 M","6,57 M",63.09
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,04 M","3,83 M",94.74
" Lain-Lain PAD yang Sah","143,23 M","107,80 M",75.27
" TKDD","644,06 M","434,67 M",67.49
" Pendapatan Transfer Pemerintah Pusat","644,06 M","434,67 M",67.49
" Pendapatan Lainnya","97,34 M","73,70 M",75.71
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","8,37 M","7,28 M",87.02
" Pendapatan Transfer Antar Daerah","88,98 M","66,42 M",74.65
" Belanja Daerah","1.155,21 M","632,43 M",54.75
" Belanja Pegawai","346,74 M","223,37 M",64.42
" Belanja Pegawai","346,74 M","223,37 M",64.42
" Belanja Barang dan Jasa","499,90 M","309,26 M",61.86
" Belanja Barang dan Jasa","499,90 M","309,26 M",61.86
" Belanja Modal","246,13 M","62,22 M",25.28
" Belanja Modal","246,13 M","62,22 M",25.28
" Belanja Lainnya","62,45 M","37,59 M",60.19
" Belanja Bunga","5,76 M","4,19 M",72.69
" Belanja Hibah","40,66 M","26,24 M",64.54
" Belanja Bantuan Sosial","9,69 M","7,12 M",73.44
" Belanja Tidak Terduga","6,34 M","0,04 M",0.64
" Pembiayaan Daerah","197,04 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","223,82 M","228,79 M",102.22
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","188,91 M","228,79 M",121.11
" Penerimaan Kembali Pemberian Pinjaman Daerah","34,91 M","0,01 M",0.03
" Pengeluaran Pembiayaan Daerah","26,78 M","0,00 M",0.00
" Penyertaan Modal Daerah","0,00 M","0,00 M",0
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","26,78 M","19,08 M",71.26
" Penerimaan Pembiayaan Lainnya","0,00 M","0,01 M",0
" Pembayaaran Pokok Utang","0,00 M","19,08 M",0
