akun,anggaran,realisasi,persentase
" Pendapatan Daerah","888,57 M","705,47 M",79.39
" PAD","201,25 M","146,16 M",72.63
" Pajak Daerah","59,01 M","42,99 M",72.85
" Retribusi Daerah","17,01 M","7,71 M",45.35
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,47 M","1,31 M",88.86
" Lain-Lain PAD yang Sah","123,76 M","94,15 M",76.08
" TKDD","596,19 M","479,43 M",80.42
" Pendapatan Transfer Pemerintah Pusat","596,19 M","479,43 M",80.42
" Pendapatan Lainnya","91,14 M","79,88 M",87.64
" Pendapatan Transfer Antar Daerah","91,14 M","79,88 M",87.64
" Belanja Daerah","1.028,57 M","641,46 M",62.36
" Belanja Pegawai","466,94 M","323,60 M",69.30
" Belanja Pegawai","466,94 M","323,60 M",69.30
" Belanja Barang dan Jasa","406,09 M","246,59 M",60.72
" Belanja Barang dan Jasa","406,09 M","246,59 M",60.72
" Belanja Modal","74,60 M","33,48 M",44.89
" Belanja Modal","74,60 M","33,48 M",44.89
" Belanja Lainnya","80,95 M","37,79 M",46.68
" Belanja Hibah","69,03 M","35,50 M",51.44
" Belanja Bantuan Sosial","3,09 M","0,94 M",30.49
" Belanja Tidak Terduga","8,84 M","1,35 M",15.22
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","140,00 M","184,33 M",131.66
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","140,00 M","184,33 M",131.66
