akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.074,68 M","1.534,75 M",73.98
" PAD","335,81 M","242,96 M",72.35
" Pajak Daerah","120,50 M","75,23 M",62.43
" Retribusi Daerah","21,57 M","13,86 M",64.23
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,40 M","3,75 M",69.42
" Lain-Lain PAD yang Sah","188,33 M","150,12 M",79.71
" TKDD","1.610,04 M","1.164,99 M",72.36
" Pendapatan Transfer Pemerintah Pusat","1.610,04 M","1.164,99 M",72.36
" Pendapatan Lainnya","128,84 M","126,80 M",98.42
" Pendapatan Hibah","3,00 M","0,12 M",4.14
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,06 M",0
" Pendapatan Transfer Antar Daerah","125,84 M","126,62 M",100.62
" Belanja Daerah","2.354,56 M","1.341,26 M",56.96
" Belanja Pegawai","822,79 M","530,60 M",64.49
" Belanja Pegawai","822,79 M","530,60 M",64.49
" Belanja Barang dan Jasa","666,82 M","369,23 M",55.37
" Belanja Barang dan Jasa","666,82 M","369,23 M",55.37
" Belanja Modal","193,05 M","52,79 M",27.35
" Belanja Modal","193,05 M","52,79 M",27.35
" Belanja Lainnya","671,90 M","388,64 M",57.84
" Belanja Bagi Hasil","7,45 M","4,91 M",65.88
" Belanja Bantuan Keuangan","346,89 M","245,13 M",70.67
" Belanja Bunga","5,67 M","4,65 M",82.04
" Belanja Hibah","219,70 M","112,59 M",51.25
" Belanja Bantuan Sosial","22,19 M","10,69 M",48.20
" Belanja Tidak Terduga","70,00 M","10,66 M",15.23
" Pembiayaan Daerah","279,87 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","370,00 M","259,64 M",70.17
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","370,00 M","259,64 M",70.17
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,05 M",0
" Pengeluaran Pembiayaan Daerah","90,13 M","0,00 M",0.00
" Pembentukan Dana Cadangan","20,00 M","20,00 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","70,13 M","52,60 M",75.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,05 M",0
" Pembayaaran Pokok Utang","0,00 M","52,60 M",0
" Pengeluaran Pembiayaan Lainnya","0,00 M","20,00 M",0
