akun,anggaran,realisasi,persentase
" Pendapatan Daerah","4.372,86 M","3.190,96 M",72.97
" PAD","1.025,59 M","620,80 M",60.53
" Pajak Daerah","476,67 M","336,86 M",70.67
" Retribusi Daerah","119,53 M","23,74 M",19.86
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","46,85 M","25,48 M",54.39
" Lain-Lain PAD yang Sah","382,54 M","234,72 M",61.36
" TKDD","2.770,11 M","2.011,28 M",72.61
" Pendapatan Transfer Pemerintah Pusat","2.770,11 M","2.011,28 M",72.61
" Pendapatan Lainnya","577,16 M","558,87 M",96.83
" Pendapatan Hibah","22,71 M","7,32 M",32.24
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","274,41 M","274,96 M",100.20
" Pendapatan Transfer Antar Daerah","280,05 M","276,59 M",98.76
" Belanja Daerah","4.739,94 M","2.595,02 M",54.75
" Belanja Pegawai","1.695,04 M","1.022,55 M",60.33
" Belanja Pegawai","1.695,04 M","1.022,55 M",60.33
" Belanja Barang dan Jasa","1.385,39 M","692,32 M",49.97
" Belanja Barang dan Jasa","1.385,39 M","692,32 M",49.97
" Belanja Modal","611,84 M","185,22 M",30.27
" Belanja Modal","611,84 M","185,22 M",30.27
" Belanja Lainnya","1.047,67 M","694,93 M",66.33
" Belanja Bagi Hasil","51,54 M","18,45 M",35.80
" Belanja Bantuan Keuangan","711,15 M","507,21 M",71.32
" Belanja Hibah","241,84 M","150,51 M",62.23
" Belanja Bantuan Sosial","38,13 M","17,88 M",46.89
" Belanja Tidak Terduga","5,00 M","0,88 M",17.68
" Pembiayaan Daerah","367,08 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","377,58 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","377,58 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","10,50 M","0,00 M",0.00
" Penyertaan Modal Daerah","10,50 M","10,50 M",100.00
" Penyertaan Modal","0,00 M","10,50 M",0
