akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.506,31 M","1.911,65 M",76.27
" PAD","632,84 M","485,22 M",76.67
" Pajak Daerah","395,68 M","282,35 M",71.36
" Retribusi Daerah","42,85 M","20,38 M",47.56
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,07 M","10,42 M",171.72
" Lain-Lain PAD yang Sah","188,24 M","172,08 M",91.41
" TKDD","1.712,41 M","1.265,11 M",73.88
" Pendapatan Transfer Pemerintah Pusat","1.712,41 M","1.265,11 M",73.88
" Pendapatan Lainnya","161,06 M","161,31 M",100.15
" Pendapatan Transfer Antar Daerah","161,06 M","161,31 M",100.15
" Belanja Daerah","2.706,22 M","1.723,56 M",63.69
" Belanja Pegawai","988,34 M","647,04 M",65.47
" Belanja Pegawai","988,34 M","647,04 M",65.47
" Belanja Barang dan Jasa","689,01 M","416,28 M",60.42
" Belanja Barang dan Jasa","689,01 M","416,28 M",60.42
" Belanja Modal","364,96 M","162,78 M",44.60
" Belanja Modal","364,96 M","162,78 M",44.60
" Belanja Lainnya","663,92 M","497,46 M",74.93
" Belanja Bagi Hasil","36,77 M","21,87 M",59.46
" Belanja Bantuan Keuangan","491,99 M","421,78 M",85.73
" Belanja Hibah","105,84 M","51,38 M",48.54
" Belanja Bantuan Sosial","3,76 M","1,99 M",52.84
" Belanja Tidak Terduga","25,56 M","0,46 M",1.78
" Pembiayaan Daerah","199,91 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","270,91 M","426,24 M",157.33
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","250,91 M","426,24 M",169.88
" Penerimaan Pinjaman Daerah","20,00 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","71,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","55,00 M","55,00 M",100.00
" Penyertaan Modal Daerah","16,00 M","16,00 M",100.00
" Penyertaan Modal","0,00 M","16,00 M",0
" Pengeluaran Pembiayaan Lainnya","0,00 M","55,00 M",0
