akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.637,26 M","1.239,27 M",75.69
" PAD","199,08 M","155,49 M",78.11
" Pajak Daerah","40,09 M","35,47 M",88.47
" Retribusi Daerah","21,50 M","11,74 M",54.59
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,90 M","2,96 M",101.94
" Lain-Lain PAD yang Sah","134,58 M","105,33 M",78.26
" TKDD","1.335,17 M","984,23 M",73.72
" Pendapatan Transfer Pemerintah Pusat","1.335,17 M","984,23 M",73.72
" Pendapatan Lainnya","103,01 M","99,55 M",96.63
" Pendapatan Hibah","1,80 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","101,21 M","99,55 M",98.35
" Belanja Daerah","1.652,76 M","1.066,88 M",64.55
" Belanja Pegawai","754,44 M","514,97 M",68.26
" Belanja Pegawai","754,44 M","514,97 M",68.26
" Belanja Barang dan Jasa","389,74 M","244,22 M",62.66
" Belanja Barang dan Jasa","389,74 M","244,22 M",62.66
" Belanja Modal","185,35 M","61,27 M",33.05
" Belanja Modal","185,35 M","61,27 M",33.05
" Belanja Lainnya","323,23 M","246,42 M",76.24
" Belanja Bagi Hasil","6,16 M","4,37 M",71.05
" Belanja Bantuan Keuangan","275,54 M","205,99 M",74.76
" Belanja Hibah","33,68 M","30,84 M",91.56
" Belanja Bantuan Sosial","1,45 M","0,45 M",31.05
" Belanja Tidak Terduga","6,40 M","4,76 M",74.40
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","15,50 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","15,50 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,01 M",0
" Penerimaan Pembiayaan Lainnya","0,00 M","0,01 M",0
