akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.261,97 M","1.422,13 M",62.87
" PAD","310,35 M","168,22 M",54.20
" Pajak Daerah","96,50 M","99,72 M",103.34
" Retribusi Daerah","21,10 M","11,97 M",56.75
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,15 M","1,25 M",108.71
" Lain-Lain PAD yang Sah","191,60 M","55,28 M",28.85
" TKDD","1.718,04 M","1.114,02 M",64.84
" Pendapatan Transfer Pemerintah Pusat","1.718,04 M","1.114,02 M",64.84
" Pendapatan Lainnya","233,58 M","139,89 M",59.89
" Pendapatan Hibah","3,00 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,16 M",0
" Pendapatan Transfer Antar Daerah","230,58 M","139,73 M",60.60
" Belanja Daerah","2.561,28 M","1.349,49 M",52.69
" Belanja Pegawai","943,42 M","685,60 M",72.67
" Belanja Pegawai","943,42 M","685,60 M",72.67
" Belanja Barang dan Jasa","542,02 M","266,00 M",49.08
" Belanja Barang dan Jasa","542,02 M","266,00 M",49.08
" Belanja Modal","495,06 M","92,59 M",18.70
" Belanja Modal","495,06 M","92,59 M",18.70
" Belanja Lainnya","580,78 M","305,30 M",52.57
" Belanja Bagi Hasil","11,40 M","4,24 M",37.19
" Belanja Bantuan Keuangan","486,49 M","265,51 M",54.58
" Belanja Bunga","9,12 M","6,22 M",68.14
" Belanja Hibah","52,34 M","17,11 M",32.68
" Belanja Bantuan Sosial","11,43 M","10,67 M",93.33
" Belanja Tidak Terduga","10,00 M","1,55 M",15.54
" Pembiayaan Daerah","299,30 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","359,73 M","246,37 M",68.49
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","259,43 M","246,37 M",94.97
" Penerimaan Pinjaman Daerah","100,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,30 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","60,43 M","0,00 M",0.00
" Pembentukan Dana Cadangan","25,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","3,00 M","0,00 M",0.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","32,43 M","0,00 M",0.00
