akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.147,63 M","1.558,35 M",72.56
" PAD","255,62 M","186,36 M",72.90
" Pajak Daerah","68,95 M","65,97 M",95.67
" Retribusi Daerah","23,04 M","14,81 M",64.27
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,62 M","6,75 M",101.97
" Lain-Lain PAD yang Sah","157,02 M","98,84 M",62.95
" TKDD","1.769,02 M","1.248,10 M",70.55
" Pendapatan Transfer Pemerintah Pusat","1.769,02 M","1.248,10 M",70.55
" Pendapatan Lainnya","122,99 M","123,89 M",100.74
" Pendapatan Hibah","1,74 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,07 M",0
" Pendapatan Transfer Antar Daerah","121,25 M","123,82 M",102.12
" Belanja Daerah","2.359,88 M","1.492,94 M",63.26
" Belanja Pegawai","968,22 M","639,17 M",66.01
" Belanja Pegawai","968,22 M","639,17 M",66.01
" Belanja Barang dan Jasa","572,17 M","331,62 M",57.96
" Belanja Barang dan Jasa","572,17 M","331,62 M",57.96
" Belanja Modal","213,75 M","84,89 M",39.71
" Belanja Modal","213,75 M","84,89 M",39.71
" Belanja Lainnya","605,75 M","437,26 M",72.19
" Belanja Bagi Hasil","9,27 M","9,27 M",100.00
" Belanja Bantuan Keuangan","485,96 M","365,28 M",75.17
" Belanja Hibah","81,74 M","52,25 M",63.92
" Belanja Bantuan Sosial","7,35 M","5,17 M",70.34
" Belanja Tidak Terduga","21,43 M","5,29 M",24.68
" Pembiayaan Daerah","212,26 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","212,26 M","317,97 M",149.81
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","212,26 M","317,97 M",149.81
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,52 M",0
" Pengeluaran Pembiayaan Daerah","0,00 M","0,00 M",0
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Lainnya","0,00 M","0,52 M",0
