akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.420,64 M","1.874,70 M",77.45
" PAD","243,71 M","205,93 M",84.50
" Pajak Daerah","37,58 M","31,07 M",82.66
" Retribusi Daerah","9,51 M","5,94 M",62.46
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","15,63 M","15,16 M",96.96
" Lain-Lain PAD yang Sah","180,98 M","153,77 M",84.96
" TKDD","2.057,13 M","1.555,62 M",75.62
" Pendapatan Transfer Pemerintah Pusat","2.057,13 M","1.555,62 M",75.62
" Pendapatan Lainnya","119,81 M","113,15 M",94.45
" Pendapatan Hibah","13,21 M","0,94 M",7.13
" Pendapatan Transfer Antar Daerah","106,59 M","112,21 M",105.27
" Belanja Daerah","2.632,14 M","1.674,60 M",63.62
" Belanja Pegawai","1.059,57 M","660,67 M",62.35
" Belanja Pegawai","1.059,57 M","660,67 M",62.35
" Belanja Barang dan Jasa","648,14 M","376,93 M",58.16
" Belanja Barang dan Jasa","648,14 M","376,93 M",58.16
" Belanja Modal","216,27 M","95,30 M",44.06
" Belanja Modal","216,27 M","95,30 M",44.06
" Belanja Lainnya","708,16 M","541,71 M",76.50
" Belanja Bagi Hasil","4,88 M","0,00 M",0.00
" Belanja Bantuan Keuangan","537,03 M","468,02 M",87.15
" Belanja Subsidi","6,00 M","0,52 M",8.72
" Belanja Hibah","132,75 M","72,22 M",54.40
" Belanja Bantuan Sosial","12,50 M","0,42 M",3.40
" Belanja Tidak Terduga","15,00 M","0,52 M",3.49
" Pembiayaan Daerah","211,49 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","242,79 M","416,22 M",171.43
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","242,79 M","416,22 M",171.43
" Pencairan Dana Cadangan","0,00 M","0,00 M",0
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,05 M",0
" Pengeluaran Pembiayaan Daerah","31,30 M","0,00 M",0.00
" Pembentukan Dana Cadangan","25,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","6,30 M","5,30 M",84.13
" Penerimaan Pembiayaan Lainnya","0,00 M","0,05 M",0
" Penyertaan Modal","0,00 M","5,30 M",0
