akun,anggaran,realisasi,persentase
" Pendapatan Daerah","10.723,82 M","6.491,38 M",60.53
" PAD","6.592,42 M","4.276,60 M",64.87
" Pajak Daerah","5.112,15 M","3.520,34 M",68.86
" Retribusi Daerah","410,80 M","205,27 M",49.97
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","222,51 M","38,66 M",17.38
" Lain-Lain PAD yang Sah","846,96 M","512,33 M",60.49
" TKDD","2.575,68 M","1.450,12 M",56.30
" Pendapatan Transfer Pemerintah Pusat","2.575,68 M","1.450,12 M",56.30
" Pendapatan Lainnya","1.555,72 M","764,66 M",49.15
" Pendapatan Transfer Antar Daerah","1.555,72 M","764,66 M",49.15
" Belanja Daerah","10.821,33 M","5.545,98 M",51.25
" Belanja Pegawai","2.799,74 M","1.766,37 M",63.09
" Belanja Pegawai","2.799,74 M","1.766,37 M",63.09
" Belanja Barang dan Jasa","5.464,59 M","3.126,88 M",57.22
" Belanja Barang dan Jasa","5.464,59 M","3.126,88 M",57.22
" Belanja Modal","2.026,08 M","458,99 M",22.65
" Belanja Modal","2.026,08 M","458,99 M",22.65
" Belanja Lainnya","530,93 M","193,74 M",36.49
" Belanja Bagi Hasil","0,75 M","0,00 M",0.00
" Belanja Bantuan Keuangan","0,50 M","0,00 M",0.00
" Belanja Hibah","408,43 M","121,69 M",29.79
" Belanja Bantuan Sosial","87,79 M","61,16 M",69.67
" Belanja Tidak Terduga","33,45 M","10,89 M",32.56
" Pembiayaan Daerah","97,51 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","157,51 M","157,51 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","157,51 M","157,51 M",100.00
" Pengeluaran Pembiayaan Daerah","60,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","60,00 M","10,00 M",16.67
" Penyertaan Modal","0,00 M","10,00 M",0
