akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.810,06 M","1.304,19 M",72.05
" PAD","279,80 M","175,75 M",62.81
" Pajak Daerah","43,71 M","41,29 M",94.47
" Retribusi Daerah","25,58 M","12,94 M",50.60
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,41 M","5,40 M",99.87
" Lain-Lain PAD yang Sah","205,10 M","116,12 M",56.62
" TKDD","1.419,37 M","1.024,08 M",72.15
" Pendapatan Transfer Pemerintah Pusat","1.419,37 M","1.024,08 M",72.15
" Pendapatan Lainnya","110,89 M","104,35 M",94.10
" Pendapatan Hibah","4,86 M","1,76 M",36.21
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,01 M",0
" Pendapatan Transfer Antar Daerah","106,03 M","102,58 M",96.75
" Belanja Daerah","1.864,01 M","1.136,55 M",60.97
" Belanja Pegawai","818,69 M","552,39 M",67.47
" Belanja Pegawai","818,69 M","552,39 M",67.47
" Belanja Barang dan Jasa","514,22 M","265,34 M",51.60
" Belanja Barang dan Jasa","514,22 M","265,34 M",51.60
" Belanja Modal","166,81 M","56,68 M",33.98
" Belanja Modal","166,81 M","56,68 M",33.98
" Belanja Lainnya","364,28 M","262,14 M",71.96
" Belanja Bagi Hasil","7,42 M","2,77 M",37.34
" Belanja Bantuan Keuangan","268,87 M","213,41 M",79.37
" Belanja Bunga","14,79 M","7,82 M",52.84
" Belanja Hibah","47,02 M","31,37 M",66.73
" Belanja Bantuan Sosial","2,54 M","1,16 M",45.64
" Belanja Tidak Terduga","23,64 M","5,61 M",23.74
" Pembiayaan Daerah","53,95 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","142,95 M","142,75 M",99.86
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","142,75 M","142,75 M",100.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,20 M","0,11 M",56.36
" Pengeluaran Pembiayaan Daerah","89,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","29,00 M","29,00 M",100.00
" Penyertaan Modal Daerah","3,00 M","3,00 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","57,00 M","42,34 M",74.28
" Penerimaan Pembiayaan Lainnya","0,00 M","0,11 M",0
" Penyertaan Modal","0,00 M","3,00 M",0
" Pembayaaran Pokok Utang","0,00 M","42,34 M",0
" Pengeluaran Pembiayaan Lainnya","0,00 M","29,00 M",0
