akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.984,27 M","1.143,59 M",57.63
" PAD","264,68 M","137,10 M",51.80
" Pajak Daerah","53,02 M","25,22 M",47.57
" Retribusi Daerah","27,96 M","16,94 M",60.57
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,00 M","4,74 M",94.86
" Lain-Lain PAD yang Sah","178,70 M","90,20 M",50.47
" TKDD","1.545,88 M","930,35 M",60.18
" Pendapatan Transfer Pemerintah Pusat","1.545,88 M","930,35 M",60.18
" Pendapatan Lainnya","173,71 M","76,14 M",43.83
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","41,69 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","132,02 M","76,14 M",57.67
" Belanja Daerah","2.169,74 M","1.141,98 M",52.63
" Belanja Pegawai","923,49 M","621,06 M",67.25
" Belanja Pegawai","923,49 M","621,06 M",67.25
" Belanja Barang dan Jasa","611,86 M","242,91 M",39.70
" Belanja Barang dan Jasa","611,86 M","242,91 M",39.70
" Belanja Modal","171,15 M","23,25 M",13.59
" Belanja Modal","171,15 M","23,25 M",13.59
" Belanja Lainnya","463,24 M","254,76 M",54.99
" Belanja Bagi Hasil","7,43 M","0,00 M",0.00
" Belanja Bantuan Keuangan","315,44 M","183,84 M",58.28
" Belanja Subsidi","1,00 M","1,00 M",100.00
" Belanja Hibah","131,75 M","68,91 M",52.30
" Belanja Bantuan Sosial","2,11 M","0,57 M",26.96
" Belanja Tidak Terduga","5,50 M","0,44 M",8.08
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","185,46 M","208,65 M",112.50
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","155,46 M","177,23 M",114.00
" Pencairan Dana Cadangan","30,00 M","31,42 M",104.75
