akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.059,74 M","1.708,85 M",55.85
" PAD","650,58 M","362,56 M",55.73
" Pajak Daerah","311,55 M","156,02 M",50.08
" Retribusi Daerah","36,28 M","14,47 M",39.87
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","13,30 M","9,79 M",73.64
" Lain-Lain PAD yang Sah","289,45 M","182,27 M",62.97
" TKDD","2.248,14 M","1.209,95 M",53.82
" Pendapatan Transfer Pemerintah Pusat","2.248,14 M","1.209,95 M",53.82
" Pendapatan Lainnya","161,03 M","136,35 M",84.67
" Pendapatan Transfer Antar Daerah","161,03 M","136,35 M",84.67
" Belanja Daerah","3.486,92 M","1.697,12 M",48.67
" Belanja Pegawai","1.160,23 M","656,11 M",56.55
" Belanja Pegawai","1.160,23 M","656,11 M",56.55
" Belanja Barang dan Jasa","965,67 M","401,64 M",41.59
" Belanja Barang dan Jasa","965,67 M","401,64 M",41.59
" Belanja Modal","403,72 M","47,52 M",11.77
" Belanja Modal","403,72 M","47,52 M",11.77
" Belanja Lainnya","957,30 M","591,85 M",61.83
" Belanja Bagi Hasil","34,85 M","34,85 M",100.00
" Belanja Bantuan Keuangan","640,44 M","394,06 M",61.53
" Belanja Hibah","218,81 M","151,06 M",69.04
" Belanja Bantuan Sosial","39,20 M","11,88 M",30.31
" Belanja Tidak Terduga","24,00 M","0,00 M",0.00
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","427,17 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","352,17 M","0,00 M",0.00
" Penerimaan Pinjaman Daerah","75,00 M","0,00 M",0.00
