akun,anggaran,realisasi,persentase
" Pendapatan Daerah","911,13 M","609,35 M",66.88
" PAD","187,43 M","99,95 M",53.33
" Pajak Daerah","48,01 M","29,96 M",62.40
" Retribusi Daerah","7,56 M","61,19 M",809.87
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,47 M","0,98 M",66.67
" Lain-Lain PAD yang Sah","130,39 M","7,82 M",6.00
" TKDD","622,15 M","452,91 M",72.80
" Pendapatan Transfer Pemerintah Pusat","622,15 M","452,91 M",72.80
" Pendapatan Lainnya","101,56 M","56,48 M",55.62
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","9,09 M","0,01 M",0.08
" Pendapatan Transfer Antar Daerah","92,46 M","56,48 M",61.08
" Belanja Daerah","1.027,24 M","566,35 M",55.13
" Belanja Pegawai","346,03 M","228,26 M",65.97
" Belanja Pegawai","346,03 M","228,26 M",65.97
" Belanja Barang dan Jasa","462,34 M","260,04 M",56.24
" Belanja Barang dan Jasa","462,34 M","260,04 M",56.24
" Belanja Modal","149,32 M","37,62 M",25.19
" Belanja Modal","149,32 M","37,62 M",25.19
" Belanja Lainnya","69,55 M","40,43 M",58.13
" Belanja Hibah","46,54 M","25,47 M",54.73
" Belanja Bantuan Sosial","19,01 M","13,56 M",71.32
" Belanja Tidak Terduga","4,00 M","1,40 M",35.01
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","116,11 M","0,01 M",0.01
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","101,11 M","0,00 M",0.00
" Pencairan Dana Cadangan","15,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,01 M",0
