akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.424,24 M","907,75 M",63.74
" PAD","341,66 M","238,19 M",69.72
" Pajak Daerah","136,72 M","100,85 M",73.76
" Retribusi Daerah","29,51 M","14,39 M",48.77
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,38 M","2,80 M",117.90
" Lain-Lain PAD yang Sah","173,05 M","120,15 M",69.43
" TKDD","955,38 M","601,30 M",62.94
" Pendapatan Transfer Pemerintah Pusat","955,38 M","601,30 M",62.94
" Pendapatan Lainnya","127,21 M","68,27 M",53.66
" Pendapatan Transfer Antar Daerah","127,21 M","68,27 M",53.66
" Belanja Daerah","1.795,30 M","808,89 M",45.06
" Belanja Pegawai","725,29 M","389,89 M",53.76
" Belanja Pegawai","725,29 M","389,89 M",53.76
" Belanja Barang dan Jasa","737,35 M","323,40 M",43.86
" Belanja Barang dan Jasa","737,35 M","323,40 M",43.86
" Belanja Modal","179,10 M","12,14 M",6.78
" Belanja Modal","179,10 M","12,14 M",6.78
" Belanja Lainnya","153,56 M","83,47 M",54.35
" Belanja Bantuan Keuangan","0,70 M","0,33 M",46.77
" Belanja Hibah","121,69 M","76,04 M",62.49
" Belanja Bantuan Sosial","19,17 M","4,88 M",25.45
" Belanja Tidak Terduga","12,00 M","2,22 M",18.51
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","371,06 M","389,72 M",105.03
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","361,00 M","379,66 M",105.17
" Pencairan Dana Cadangan","10,06 M","10,06 M",100.00
