akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.097,97 M","710,96 M",64.75
" PAD","254,14 M","156,13 M",61.43
" Pajak Daerah","102,51 M","82,12 M",80.11
" Retribusi Daerah","18,01 M","61,19 M",339.71
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","16,03 M","10,79 M",67.33
" Lain-Lain PAD yang Sah","117,59 M","2,03 M",1.73
" TKDD","747,54 M","495,16 M",66.24
" Pendapatan Transfer Pemerintah Pusat","747,54 M","495,16 M",66.24
" Pendapatan Lainnya","96,28 M","59,67 M",61.97
" Pendapatan Transfer Antar Daerah","96,28 M","59,67 M",61.97
" Belanja Daerah","1.232,97 M","673,73 M",54.64
" Belanja Pegawai","498,36 M","290,38 M",58.27
" Belanja Pegawai","498,36 M","290,38 M",58.27
" Belanja Barang dan Jasa","496,25 M","272,38 M",54.89
" Belanja Barang dan Jasa","496,25 M","272,38 M",54.89
" Belanja Modal","173,44 M","68,39 M",39.43
" Belanja Modal","173,44 M","68,39 M",39.43
" Belanja Lainnya","64,91 M","42,59 M",65.61
" Belanja Subsidi","0,05 M","0,05 M",99.91
" Belanja Hibah","34,96 M","26,58 M",76.04
" Belanja Bantuan Sosial","27,91 M","15,89 M",56.96
" Belanja Tidak Terduga","2,00 M","0,06 M",3.10
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","135,00 M","113,95 M",84.41
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","135,00 M","113,95 M",84.41
