akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.911,66 M","1.169,75 M",61.19
" PAD","258,21 M","152,37 M",59.01
" Pajak Daerah","69,00 M","48,19 M",69.83
" Retribusi Daerah","29,81 M","18,24 M",61.19
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,14 M","3,40 M",82.14
" Lain-Lain PAD yang Sah","155,26 M","82,54 M",53.16
" TKDD","1.521,68 M","934,19 M",61.39
" Pendapatan Transfer Pemerintah Pusat","1.521,68 M","934,19 M",61.39
" Pendapatan Lainnya","131,77 M","83,19 M",63.13
" Pendapatan Hibah","0,10 M","3,43 M","3,432.56"
" Pendapatan Transfer Antar Daerah","131,67 M","79,76 M",60.58
" Belanja Daerah","1.987,56 M","1.181,06 M",59.42
" Belanja Pegawai","822,44 M","494,75 M",60.16
" Belanja Pegawai","822,44 M","494,75 M",60.16
" Belanja Barang dan Jasa","526,45 M","273,49 M",51.95
" Belanja Barang dan Jasa","526,45 M","273,49 M",51.95
" Belanja Modal","176,29 M","52,86 M",29.98
" Belanja Modal","176,29 M","52,86 M",29.98
" Belanja Lainnya","462,37 M","359,97 M",77.85
" Belanja Bagi Hasil","9,88 M","4,38 M",44.36
" Belanja Bantuan Keuangan","327,01 M","270,47 M",82.71
" Belanja Subsidi","0,06 M","0,04 M",60.83
" Belanja Hibah","115,54 M","80,03 M",69.26
" Belanja Bantuan Sosial","4,88 M","3,59 M",73.57
" Belanja Tidak Terduga","5,00 M","1,46 M",29.15
" Pembiayaan Daerah","75,90 M","161,18 M",212.36
" Penerimaan Pembiayaan Daerah","77,40 M","162,68 M",210.19
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","77,40 M","162,68 M",210.19
" Pengeluaran Pembiayaan Daerah","1,50 M","1,50 M",100.00
" Penyertaan Modal Daerah","1,50 M","1,50 M",100.00
