akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.462,50 M","1.536,94 M",62.41
" PAD","285,05 M","186,64 M",65.48
" Pajak Daerah","86,36 M","59,34 M",68.71
" Retribusi Daerah","9,75 M","7,92 M",81.28
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","12,23 M","14,04 M",114.86
" Lain-Lain PAD yang Sah","176,71 M","105,33 M",59.61
" TKDD","1.990,64 M","1.261,71 M",63.38
" Pendapatan Transfer Pemerintah Pusat","1.990,64 M","1.261,71 M",63.38
" Pendapatan Lainnya","186,81 M","88,60 M",47.43
" Pendapatan Hibah","10,50 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","176,31 M","88,60 M",50.25
" Belanja Daerah","2.492,87 M","1.402,09 M",56.24
" Belanja Pegawai","1.051,16 M","681,84 M",64.87
" Belanja Pegawai","1.051,16 M","681,84 M",64.87
" Belanja Barang dan Jasa","554,11 M","286,89 M",51.78
" Belanja Barang dan Jasa","554,11 M","286,89 M",51.78
" Belanja Modal","302,98 M","107,70 M",35.55
" Belanja Modal","302,98 M","107,70 M",35.55
" Belanja Lainnya","584,63 M","325,66 M",55.70
" Belanja Bagi Hasil","9,63 M","0,00 M",0.00
" Belanja Bantuan Keuangan","427,12 M","245,12 M",57.39
" Belanja Hibah","130,82 M","70,99 M",54.27
" Belanja Bantuan Sosial","14,26 M","9,02 M",63.25
" Belanja Tidak Terduga","2,80 M","0,53 M",19.10
" Pembiayaan Daerah","30,38 M","48,21 M",158.70
" Penerimaan Pembiayaan Daerah","40,88 M","48,21 M",117.93
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","40,88 M","48,21 M",117.93
" Pengeluaran Pembiayaan Daerah","10,50 M","0,00 M",0.00
" Penyertaan Modal Daerah","10,50 M","0,00 M",0.00
