akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.679,34 M","857,66 M",51.07
" PAD","209,76 M","115,98 M",55.29
" Pajak Daerah","49,99 M","32,84 M",65.68
" Retribusi Daerah","51,48 M","26,88 M",52.23
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,90 M","3,02 M",104.10
" Lain-Lain PAD yang Sah","105,39 M","53,24 M",50.52
" TKDD","1.358,50 M","706,86 M",52.03
" Pendapatan Transfer Pemerintah Pusat","1.358,50 M","706,86 M",52.03
" Pendapatan Lainnya","111,08 M","34,81 M",31.34
" Pendapatan Transfer Antar Daerah","111,08 M","34,81 M",31.34
" Belanja Daerah","1.699,34 M","954,87 M",56.19
" Belanja Pegawai","768,67 M","487,53 M",63.42
" Belanja Pegawai","768,67 M","487,53 M",63.42
" Belanja Barang dan Jasa","420,29 M","212,57 M",50.58
" Belanja Barang dan Jasa","420,29 M","212,57 M",50.58
" Belanja Modal","162,37 M","45,76 M",28.18
" Belanja Modal","162,37 M","45,76 M",28.18
" Belanja Lainnya","348,01 M","209,02 M",60.06
" Belanja Bagi Hasil","6,16 M","2,10 M",34.10
" Belanja Bantuan Keuangan","268,62 M","151,47 M",56.39
" Belanja Subsidi","0,03 M","0,00 M",0.00
" Belanja Hibah","66,49 M","53,34 M",80.22
" Belanja Bantuan Sosial","0,71 M","0,46 M",64.43
" Belanja Tidak Terduga","6,00 M","1,65 M",27.50
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","20,00 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","20,00 M","0,00 M",0.00
