akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.702,76 M","1.938,31 M",52.35
" PAD","771,99 M","475,34 M",61.57
" Pajak Daerah","473,62 M","250,20 M",52.83
" Retribusi Daerah","281,82 M","178,80 M",63.45
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,65 M","4,98 M",107.05
" Lain-Lain PAD yang Sah","11,90 M","41,36 M",347.55
" TKDD","2.632,93 M","1.407,88 M",53.47
" Pendapatan Transfer Pemerintah Pusat","2.632,93 M","1.407,88 M",53.47
" Pendapatan Lainnya","297,85 M","55,09 M",18.50
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","76,51 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","221,34 M","55,09 M",24.89
" Belanja Daerah","4.035,65 M","2.015,49 M",49.94
" Belanja Pegawai","1.380,46 M","781,08 M",56.58
" Belanja Pegawai","1.380,46 M","781,08 M",56.58
" Belanja Barang dan Jasa","1.326,89 M","577,28 M",43.51
" Belanja Barang dan Jasa","1.326,89 M","577,28 M",43.51
" Belanja Modal","419,90 M","75,60 M",18.01
" Belanja Modal","419,90 M","75,60 M",18.01
" Belanja Lainnya","908,40 M","581,53 M",64.02
" Belanja Bagi Hasil","50,46 M","36,80 M",72.92
" Belanja Bantuan Keuangan","584,85 M","417,00 M",71.30
" Belanja Hibah","236,42 M","116,10 M",49.11
" Belanja Bantuan Sosial","9,67 M","7,64 M",79.05
" Belanja Tidak Terduga","27,00 M","3,99 M",14.76
" Pembiayaan Daerah","332,89 M","199,98 M",60.08
" Penerimaan Pembiayaan Daerah","340,14 M","199,98 M",58.79
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","340,14 M","199,98 M",58.79
" Pengeluaran Pembiayaan Daerah","7,26 M","0,00 M",0.00
" Penyertaan Modal Daerah","7,26 M","0,00 M",0.00
