akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.819,83 M","1.212,46 M",66.62
" PAD","301,04 M","189,05 M",62.80
" Pajak Daerah","90,94 M","41,00 M",45.08
" Retribusi Daerah","16,19 M","9,08 M",56.10
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,04 M","5,12 M",101.55
" Lain-Lain PAD yang Sah","188,86 M","133,85 M",70.87
" TKDD","1.396,76 M","948,35 M",67.90
" Pendapatan Transfer Pemerintah Pusat","1.396,76 M","948,35 M",67.90
" Pendapatan Lainnya","122,03 M","75,05 M",61.50
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","122,03 M","75,05 M",61.50
" Belanja Daerah","2.079,92 M","1.195,92 M",57.50
" Belanja Pegawai","747,85 M","485,11 M",64.87
" Belanja Pegawai","747,85 M","485,11 M",64.87
" Belanja Barang dan Jasa","633,45 M","337,51 M",53.28
" Belanja Barang dan Jasa","633,45 M","337,51 M",53.28
" Belanja Modal","300,92 M","108,92 M",36.20
" Belanja Modal","300,92 M","108,92 M",36.20
" Belanja Lainnya","397,70 M","264,37 M",66.47
" Belanja Bagi Hasil","10,72 M","6,54 M",61.05
" Belanja Bantuan Keuangan","238,86 M","185,72 M",77.75
" Belanja Hibah","107,19 M","60,16 M",56.12
" Belanja Bantuan Sosial","12,43 M","11,76 M",94.58
" Belanja Tidak Terduga","28,50 M","0,19 M",0.66
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","260,09 M","172,93 M",66.49
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","220,09 M","132,93 M",60.40
" Pencairan Dana Cadangan","40,00 M","40,00 M",100.00
