akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.214,08 M","1.802,31 M",56.08
" PAD","652,95 M","440,64 M",67.48
" Pajak Daerah","332,13 M","238,51 M",71.81
" Retribusi Daerah","21,12 M","14,22 M",67.32
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","19,28 M","11,83 M",61.32
" Lain-Lain PAD yang Sah","280,42 M","176,08 M",62.79
" TKDD","2.389,40 M","1.303,40 M",54.55
" Pendapatan Transfer Pemerintah Pusat","2.389,40 M","1.303,40 M",54.55
" Pendapatan Lainnya","171,73 M","58,27 M",33.93
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,06 M",0
" Pendapatan Transfer Antar Daerah","171,73 M","58,22 M",33.90
" Belanja Daerah","3.474,33 M","1.650,82 M",47.51
" Belanja Pegawai","1.229,36 M","707,06 M",57.51
" Belanja Pegawai","1.229,36 M","707,06 M",57.51
" Belanja Barang dan Jasa","779,04 M","317,01 M",40.69
" Belanja Barang dan Jasa","779,04 M","317,01 M",40.69
" Belanja Modal","798,83 M","210,12 M",26.30
" Belanja Modal","798,83 M","210,12 M",26.30
" Belanja Lainnya","667,10 M","416,62 M",62.45
" Belanja Bagi Hasil","36,71 M","3,33 M",9.08
" Belanja Bantuan Keuangan","458,13 M","328,38 M",71.68
" Belanja Hibah","138,94 M","82,26 M",59.20
" Belanja Bantuan Sosial","9,15 M","1,22 M",13.37
" Belanja Tidak Terduga","24,17 M","1,43 M",5.93
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","260,25 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","190,19 M","0,00 M",0.00
" Pencairan Dana Cadangan","70,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,06 M","0,00 M",0.00
